date	S of Mathematical and Computer Sciences	Sch of Engineering and Physical Science	Sch of Management and Languages
02/06/2010	0.00	0.00	100.00
02/07/2010	0.00	0.00	100.00
02/08/2010	0.00	0.00	100.00
02/09/2010	0.00	0.00	100.00
02/10/2010	0.00	0.00	100.00
02/11/2010	0.00	0.00	100.00
02/12/2010	0.00	0.00	100.00
02/01/2011	0.00	0.00	100.00
02/02/2011	50.00	0.00	50.00
02/03/2011	50.00	0.00	50.00
02/04/2011	50.00	0.00	50.00
02/05/2011	50.00	0.00	50.00
02/06/2011	50.00	0.00	50.00
02/07/2011	50.00	0.00	50.00
02/08/2011	50.00	0.00	50.00
02/09/2011	50.00	0.00	50.00
02/10/2011	50.00	0.00	50.00
02/11/2011	20.00	60.00	20.00
02/12/2011	20.00	60.00	20.00
02/01/2012	20.00	60.00	20.00
02/02/2012	20.00	60.00	20.00
02/03/2012	20.00	60.00	20.00
02/04/2012	20.00	60.00	20.00
02/05/2012	20.00	60.00	20.00
02/06/2012	20.00	60.00	20.00
02/07/2012	20.00	60.00	20.00
02/08/2012	20.00	60.00	20.00
02/09/2012	50.00	50.00	0.00
02/10/2012	50.00	50.00	0.00
02/11/2012	50.00	50.00	0.00
02/12/2012	50.00	50.00	0.00
02/01/2013	50.00	50.00	0.00
02/02/2013	50.00	50.00	0.00
02/03/2013	50.00	50.00	0.00
02/04/2013	50.00	50.00	0.00
02/05/2013	50.00	50.00	0.00
02/06/2013	50.00	50.00	0.00
02/07/2013	50.00	50.00	0.00
02/08/2013	50.00	50.00	0.00
02/09/2013	50.00	50.00	0.00
02/10/2013	50.00	50.00	0.00
02/11/2013	50.00	50.00	0.00
02/12/2013	50.00	50.00	0.00
02/01/2014	50.00	50.00	0.00
02/02/2014	50.00	50.00	0.00
02/03/2014	50.00	50.00	0.00
02/04/2014	50.00	50.00	0.00
02/05/2014	50.00	50.00	0.00
02/06/2014	50.00	50.00	0.00
02/07/2014	50.00	50.00	0.00
02/08/2014	50.00	50.00	0.00
02/09/2014	50.00	50.00	0.00
02/10/2014	50.00	50.00	0.00
02/11/2014	50.00	50.00	0.00
02/12/2014	50.00	50.00	0.00
02/01/2015	50.00	50.00	0.00
02/02/2015	50.00	50.00	0.00
02/03/2015	50.00	50.00	0.00
02/04/2015	0.00	100.00	0.00
